Time (years),Lake Huron,Lake Erie,Lake Ontario
49.39999999999933,17.019956283066648,7.488766859631012,110.85174889237555
49.44999999999933,16.926346523509782,7.44757881571452,110.32143620249465
49.499999999999325,16.833251617630477,7.406617302910963,109.79356400396254
49.54999999999932,16.74066873373351,7.365881075355533,109.26812173139116
49.59999999999932,16.648595055697978,7.325368894034668,108.74509886035922
49.64999999999932,16.557027782891637,7.285079526748382,108.22448490728969
49.699999999999314,16.465964130085734,7.245011748072815,107.70626942932742
49.74999999999931,16.375401327370263,7.205164339322976,107.19044202421676
49.79999999999931,16.285336620069724,7.165536088515699,106.67699233017927
49.849999999999305,16.195767268659342,7.1261257903328,106.16591002579148
49.8999999999993,16.106690548681716,7.086932246084436,105.65718482986271
49.9499999999993,16.018103750663965,7.047954263672666,105.15080650131306
49.9999999999993,15.930004180035313,7.00919065755521,104.64676483905129
50.049999999999294,15.842389157045119,6.97064024870941,104.14504968185297
50.09999999999929,15.75525601668137,6.932301864596389,103.64565090823862
50.14999999999929,15.668602108589623,6.894174339125401,103.14855843635192
50.199999999999285,15.58242479699238,6.856256512618387,102.65376222383807
50.24999999999928,15.49672146060892,6.818547231774714,102.16125226772218
50.29999999999928,15.411489492575571,6.781045349636118,101.6710186042878
50.34999999999928,15.326726300366404,6.743749725551834,101.18305130895551
50.399999999999274,15.242429305714388,6.706659225143916,100.69734049616171
50.44999999999927,15.158595944532959,6.669772720272754,100.21387631923733
50.49999999999927,15.075223666838028,6.633089089002776,99.73264897028682
50.549999999999265,14.992309936670418,6.596607215568335,99.25364868006714
50.59999999999926,14.90985223201873,6.560325990339792,98.77686571786697
50.64999999999926,14.827848044742627,6.524244309789779,98.30229039138588
50.69999999999926,14.746294880496542,6.488361076459648,97.82991304661378
50.749999999999254,14.66519025865381,6.452675198926105,97.35972406771037
50.79999999999925,14.584531712231215,6.417185591768031,96.89171387688478
50.84999999999925,14.504316787813943,6.381891175533478,96.42587293427529
